TimeInterval,GantryID,小客車,小貨車,大客車,大貨車,聯結車,direction,小客車速度,小貨車速度,大客車速度,大貨車速度,聯結車速度
1,5,20,5,0,0,0,1,90,90,0,0,0
1,17,28,5,0,0,0,1,93,93,0,0,0
1,29,33,6,1,1,0,1,93,90,86,86,0
1,61,52,16,0,3,0,1,97,90,0,90,0
1,99,47,14,0,1,1,1,268,365,0,86,79
1,147,32,14,1,2,3,1,100,93,118,91,82
1,153,40,6,0,2,1,1,99,88,0,86,82
1,182,43,11,0,3,1,1,97,97,0,86,79
1,248,89,12,0,1,3,1,97,104,0,90,97
1,264,94,11,1,1,3,1,97,100,93,93,93
1,293,82,9,5,2,0,1,100,100,90,82,0
1,339,181,30,4,2,2,1,194,194,86,79,75
1,376,94,13,8,1,1,1,97,97,82,90,57
1,413,73,17,6,0,0,1,100,100,91,0,0
1,467,56,9,1,3,1,1,100,100,68,93,111
1,492,54,10,0,4,2,1,102,102,0,90,88
1,511,47,10,0,3,1,1,240,266,0,90,93
1,532,95,10,2,5,5,1,100,95,54,86,90
1,557,61,7,2,3,6,1,97,90,88,75,86
1,578,61,5,2,7,3,1,192,186,186,93,93
1,633,48,9,4,7,2,1,100,100,93,93,82
1,664,72,16,4,9,2,1,104,102,97,97,82
1,681,36,12,2,6,3,1,97,99,91,82,86
1,699,45,5,1,4,4,1,108,104,97,97,91
1,750,102,13,4,2,6,1,104,100,95,93,86
1,880,93,5,4,1,4,1,104,108,95,104,90
1,928,76,7,4,1,5,1,104,100,99,100,90
1,950,71,6,6,3,7,1,104,104,95,100,90
1,980,76,18,5,2,5,1,224,193,93,95,158
1,1045,50,8,3,1,2,1,102,100,93,104,93
1,1123,57,8,4,1,2,1,104,109,88,93,79
1,1292,62,9,7,3,0,1,102,108,90,86,0
1,1389,76,12,5,3,3,1,104,102,86,90,93
1,1465,51,8,2,3,3,1,104,102,90,90,90
1,1572,56,8,4,1,1,1,108,97,91,90,100
1,1621,58,4,6,2,0,1,108,97,91,106,0
1,1664,57,7,6,5,2,1,108,104,93,97,82
1,1699,41,8,7,3,2,1,108,106,93,97,84
1,1774,40,11,0,2,3,1,109,104,0,99,90
1,1802,56,5,1,2,0,1,111,100,108,95,0
1,1839,49,7,3,3,1,1,104,100,93,90,68
1,1906,47,6,5,4,1,1,273,99,93,95,93
1,1960,62,10,6,2,4,1,111,109,91,102,82
1,2011,71,11,2,2,6,1,111,104,95,90,86
1,2089,60,11,4,1,5,1,111,108,90,100,86
1,2156,64,10,4,4,2,1,111,102,91,93,90
1,2249,55,11,3,4,3,1,108,100,104,91,75
1,2322,49,11,3,3,5,1,111,104,97,104,82
1,2394,44,9,4,3,3,1,113,104,97,108,86
1,2425,46,13,3,4,3,1,115,108,100,99,86
1,2472,52,16,5,4,3,1,108,100,93,90,82
1,2514,36,10,5,3,4,1,108,111,97,90,86
1,2603,28,12,2,7,2,1,111,109,91,93,88
1,2674,40,11,1,2,1,1,108,108,93,95,86
1,2714,75,6,1,9,2,1,108,104,97,90,82
1,2827,66,15,2,7,5,1,108,97,97,97,82
1,2866,60,13,2,2,4,1,111,111,93,97,81
1,2930,83,13,2,5,0,1,108,108,93,90,0
1,3019,72,15,4,3,3,1,111,111,95,90,79
1,3083,66,18,2,2,2,1,111,113,93,84,59
1,3126,84,13,2,2,1,1,197,190,95,95,64
1,3185,66,5,6,2,4,1,111,104,97,95,91
1,3227,58,15,3,4,4,1,115,111,97,104,86
1,3252,54,13,0,2,5,1,108,111,0,86,86
1,3286,62,13,0,1,3,1,111,108,0,108,90
1,3366,79,15,2,1,3,1,115,111,97,97,86
1,3398,66,15,3,1,2,1,111,108,97,100,81
1,3460,75,8,3,3,4,1,108,108,97,86,84
1,3535,73,10,0,2,4,1,104,104,0,88,90
1,3561,79,13,0,0,3,1,104,108,0,0,93
1,3590,71,9,0,2,1,1,104,100,0,93,75
1,3640,47,12,1,2,2,1,104,95,93,91,86
1,3676,54,8,0,2,3,1,100,100,0,91,86
1,3686,2,0,0,0,0,1,88,0,0,0,0
2,5,26,5,0,0,0,1,93,97,0,0,0
2,17,29,6,0,0,0,1,93,93,0,0,0
2,29,22,9,0,4,0,1,95,97,0,90,0
2,61,30,12,1,4,2,1,93,100,90,88,73
2,99,37,16,0,4,1,1,280,269,0,90,90
2,147,38,7,0,3,1,1,97,100,0,97,100
2,153,29,10,0,3,3,1,97,93,0,93,93
2,182,29,9,0,1,1,1,97,86,0,90,79
2,248,69,20,1,6,2,1,100,100,100,99,99
2,264,66,14,3,4,1,1,100,100,97,95,86
2,293,62,8,3,4,3,1,100,99,97,104,90
2,339,167,25,3,2,0,1,194,188,86,77,0
2,376,74,14,1,0,2,1,93,93,82,0,46
2,413,89,16,3,2,2,1,100,100,97,82,82
2,467,78,14,2,5,2,1,100,100,97,93,91
2,492,76,9,1,5,1,1,100,100,104,97,86
2,511,64,7,2,2,2,1,235,97,86,91,176
2,532,78,23,4,5,3,1,102,98,97,91,93
2,557,48,8,1,4,4,1,97,100,90,88,84
2,578,55,4,1,5,6,1,197,106,75,90,77
2,633,53,8,0,3,6,1,97,90,0,86,75
2,664,57,7,0,5,1,1,104,100,0,90,93
2,681,38,3,1,4,2,1,93,86,90,86,79
2,699,44,12,4,7,4,1,104,106,97,90,88
2,750,78,8,3,6,4,1,100,104,93,91,91
2,880,78,14,3,3,7,1,104,104,97,97,90
2,928,51,8,3,3,6,1,104,99,86,90,90
2,950,66,10,3,1,6,1,104,104,97,75,86
2,980,84,9,3,3,8,1,287,205,181,104,164
2,1045,57,7,4,3,4,1,100,104,95,93,84
2,1123,47,14,6,5,4,1,100,99,93,79,82
2,1292,56,9,4,1,2,1,104,104,91,86,86
2,1389,62,12,6,3,0,1,102,104,90,86,0
2,1465,78,12,1,2,2,1,104,104,90,88,88
2,1572,71,11,1,2,0,1,108,104,82,88,0
2,1621,40,10,3,1,1,1,111,109,93,86,54
2,1664,40,8,2,1,2,1,109,106,90,86,79
2,1699,49,6,2,7,2,1,108,102,91,97,82
2,1774,31,12,5,5,3,1,111,111,100,100,90
2,1802,47,15,2,2,1,1,108,108,95,102,75
2,1839,55,9,0,2,2,1,108,108,0,93,88
2,1906,57,9,3,2,1,1,278,111,93,91,68
2,1960,58,11,4,5,4,1,111,111,97,86,84
2,2011,64,7,3,3,5,1,108,108,93,100,82
2,2089,71,9,1,3,6,1,111,104,97,93,86
2,2156,53,9,1,4,4,1,111,111,97,86,86
2,2249,55,13,3,4,2,1,104,104,93,100,86
2,2322,42,18,3,4,2,1,111,108,104,93,81
2,2394,42,14,3,2,4,1,111,108,108,95,86
2,2425,43,12,3,3,4,1,111,106,97,100,86
2,2472,44,11,2,5,2,1,111,108,90,100,88
2,2514,46,20,4,1,1,1,108,104,95,97,93
2,2603,32,13,4,1,4,1,108,104,97,90,84
2,2674,36,18,3,6,7,1,109,102,93,93,79
2,2714,41,10,0,3,4,1,111,106,0,90,82
2,2827,75,14,0,7,3,1,108,109,0,90,79
2,2866,67,13,2,8,4,1,111,108,75,93,79
2,2930,51,19,2,3,1,1,111,108,90,86,97
2,3019,67,18,1,6,1,1,111,109,97,95,86
2,3083,80,16,3,5,2,1,109,106,97,90,88
2,3126,58,17,3,2,4,1,198,208,90,82,79
2,3185,47,17,0,4,2,1,108,108,0,97,82
2,3227,66,14,2,2,3,1,111,106,97,95,86
2,3252,52,8,2,7,1,1,104,100,97,97,93
2,3286,67,15,0,1,5,1,108,108,0,97,86
2,3366,72,15,0,2,4,1,115,115,0,106,88
2,3398,81,14,2,1,3,1,111,109,88,97,86
2,3460,65,17,2,2,2,1,108,104,93,104,77
2,3535,71,13,1,3,2,1,100,104,97,104,79
2,3561,66,14,1,4,4,1,104,104,97,95,82
2,3590,57,10,0,1,5,1,104,108,0,100,93
2,3640,46,16,0,0,4,1,104,100,0,0,90
2,3676,52,15,0,0,2,1,104,97,0,0,84
2,3686,1,0,0,0,0,1,79,0,0,0,0
3,5,25,2,0,0,0,1,90,82,0,0,0
3,17,28,4,0,0,0,1,90,82,0,0,0
3,29,36,3,0,1,0,1,93,97,0,93,0
3,61,40,11,0,2,1,1,97,97,0,99,86
3,99,33,14,1,4,1,1,273,279,79,161,64
3,147,32,7,0,5,1,1,99,100,0,97,86
3,153,36,5,0,2,2,1,100,97,0,88,88
3,182,35,8,0,5,5,1,97,99,0,93,82
3,248,68,8,2,4,4,1,99,88,100,95,86
3,264,65,7,0,2,3,1,97,93,0,100,93
3,293,62,13,5,1,1,1,99,100,93,86,104
3,339,141,21,6,7,5,1,199,197,176,165,183
3,376,61,9,2,4,1,1,97,97,90,77,39
3,413,75,14,1,1,1,1,100,102,90,90,90
3,467,56,9,1,2,3,1,100,104,93,109,90
3,492,61,12,1,2,3,1,100,100,93,95,90
3,511,64,6,2,4,5,1,224,100,90,88,82
3,532,98,15,1,4,4,1,100,96,100,89,89
3,557,54,12,3,0,4,1,97,100,100,0,82
3,578,53,11,1,2,2,1,197,183,100,81,86
3,633,45,10,0,4,3,1,97,93,0,86,79
3,664,46,10,1,5,7,1,104,97,86,93,79
3,681,39,10,0,5,4,1,97,95,0,86,64
3,699,44,7,0,5,2,1,102,97,0,93,86
3,750,68,24,3,5,5,1,102,104,97,93,82
3,880,74,12,2,4,2,1,104,102,95,93,90
3,928,60,6,1,3,3,1,104,104,97,97,93
3,950,52,7,1,3,1,1,104,104,97,93,90
3,980,74,11,2,0,6,1,258,179,93,0,170
3,1045,57,5,2,2,4,1,104,100,97,99,86
3,1123,49,10,4,0,2,1,104,100,91,0,84
3,1292,44,12,4,5,2,1,100,97,93,86,79
3,1389,57,7,4,1,2,1,104,100,90,82,82
3,1465,63,10,9,1,1,1,104,106,90,82,100
3,1572,59,11,4,1,1,1,108,108,90,100,93
3,1621,64,9,2,2,0,1,109,111,54,93,0
3,1664,47,15,2,1,1,1,108,104,88,90,100
3,1699,34,7,2,1,3,1,108,100,91,86,86
3,1774,30,14,2,1,1,1,115,108,5,86,79
3,1802,33,12,3,2,2,1,108,108,97,109,84
3,1839,43,15,2,1,2,1,108,108,93,97,81
3,1906,69,10,1,2,4,1,253,102,97,95,81
3,1960,53,10,0,3,3,1,108,113,0,90,79
3,2011,54,12,4,4,4,1,108,111,95,84,84
3,2089,55,7,5,2,7,1,111,111,93,102,86
3,2156,57,11,2,3,7,1,111,104,77,90,86
3,2249,37,7,1,6,7,1,108,104,39,81,79
3,2322,42,12,3,3,2,1,111,102,97,104,90
3,2394,39,11,3,4,3,1,111,111,93,93,86
3,2425,42,16,2,3,2,1,111,108,102,97,84
3,2472,43,16,4,2,2,1,111,104,99,95,82
3,2514,39,10,2,5,4,1,111,109,93,104,81
3,2603,36,18,2,3,2,1,111,102,95,97,95
3,2674,39,16,4,2,1,1,108,100,90,93,79
3,2714,39,15,1,4,1,1,111,108,90,90,97
3,2827,41,8,0,2,3,1,108,108,0,95,82
3,2866,51,13,2,4,4,1,111,115,64,90,90
3,2930,69,10,0,8,5,1,108,104,0,99,82
3,3019,49,16,2,5,2,1,108,108,93,90,95
3,3083,59,17,0,5,2,1,111,108,0,93,91
3,3126,76,16,2,4,1,1,186,194,93,79,64
3,3185,55,9,4,3,4,1,108,104,97,90,88
3,3227,53,7,2,3,3,1,108,111,99,75,90
3,3252,45,11,1,3,2,1,108,108,93,75,82
3,3286,51,13,1,6,1,1,108,97,100,91,90
3,3366,61,16,1,6,5,1,115,115,104,99,90
3,3398,75,14,0,1,2,1,111,111,0,104,88
3,3460,73,12,0,2,3,1,111,106,0,81,68
3,3535,74,17,1,3,0,1,108,104,93,93,0
3,3561,75,16,2,3,1,1,108,106,93,104,82
3,3590,73,14,3,0,2,1,172,99,97,0,82
3,3640,62,12,0,0,6,1,104,97,0,0,88
3,3676,52,9,0,0,7,1,104,100,0,0,90
3,3686,1,0,0,0,2,1,75,0,0,0,86
4,5,17,5,0,0,0,1,97,90,0,0,0
4,17,27,2,0,0,0,1,93,88,0,0,0
4,29,35,5,0,0,0,1,97,86,0,0,0
4,61,39,15,0,0,3,1,100,93,0,0,82
4,99,45,10,0,2,2,1,290,271,0,150,63
4,147,31,8,0,1,1,1,97,100,0,97,90
4,153,28,5,0,0,2,1,100,86,0,0,77
4,182,35,5,0,2,2,1,100,90,0,88,86
4,248,71,8,1,2,2,1,97,99,97,97,97
4,264,64,6,2,4,2,1,97,90,97,90,90
4,293,60,6,1,1,5,1,99,99,100,90,93
4,339,160,29,3,2,2,1,194,190,97,179,90
4,376,71,10,2,1,2,1,97,97,77,75,43
4,413,64,8,3,5,2,1,100,100,97,90,86
4,467,70,12,1,2,1,1,102,100,93,88,97
4,492,67,13,1,1,0,1,100,100,93,90,0
4,511,68,12,1,3,1,1,231,271,90,86,82
4,532,93,13,1,5,4,1,104,106,93,86,84
4,557,50,6,1,2,7,1,93,97,64,91,82
4,578,58,3,1,2,4,1,195,97,100,179,88
4,633,51,8,3,1,3,1,100,99,100,72,90
4,664,74,13,3,5,2,1,104,100,100,93,90
4,681,45,5,3,4,3,1,97,93,97,82,86
4,699,40,7,0,4,7,1,104,104,0,91,72
4,750,76,16,4,4,2,1,104,97,91,90,91
4,880,64,16,4,4,6,1,104,100,97,90,88
4,928,42,15,3,1,6,1,104,100,97,100,90
4,950,49,10,2,1,3,1,104,97,99,82,90
4,980,67,10,1,5,2,1,258,201,93,180,175
4,1045,53,9,2,1,1,1,104,104,93,93,93
4,1123,66,9,3,3,3,1,104,100,97,93,90
4,1292,43,15,5,3,3,1,104,100,93,97,93
4,1389,42,14,5,5,3,1,100,100,93,90,82
4,1465,65,14,3,1,1,1,104,102,97,86,90
4,1572,65,11,5,1,0,1,108,111,97,86,0
4,1621,52,5,8,2,0,1,133,108,95,104,0
4,1664,51,9,4,1,0,1,108,104,95,104,0
4,1699,54,11,1,1,0,1,108,111,86,90,0
4,1774,29,12,3,2,2,1,115,113,7,91,95
4,1802,34,12,4,1,3,1,111,113,100,86,86
4,1839,42,8,2,1,0,1,106,106,97,108,0
4,1906,43,11,3,3,3,1,262,283,100,97,79
4,1960,42,15,2,3,4,1,108,104,93,86,81
4,2011,55,12,0,4,5,1,108,109,0,82,86
4,2089,49,8,3,4,5,1,111,115,97,86,90
4,2156,48,7,3,2,6,1,108,104,93,100,82
4,2249,55,8,2,1,6,1,108,102,95,90,84
4,2322,48,6,1,9,6,1,109,109,90,90,82
4,2394,35,10,0,8,4,1,111,108,0,97,82
4,2425,41,9,4,3,3,1,108,111,100,104,90
4,2472,50,9,2,3,5,1,108,100,99,93,86
4,2514,34,16,3,2,3,1,111,113,104,95,82
4,2603,38,8,1,2,3,1,108,106,86,104,79
4,2674,44,7,1,4,5,1,111,104,93,97,93
4,2714,35,12,4,2,5,1,108,106,99,81,75
4,2827,39,17,4,5,4,1,108,108,95,93,84
4,2866,37,11,0,5,0,1,111,108,0,97,0
4,2930,51,11,3,3,3,1,108,108,97,86,90
4,3019,75,12,2,8,6,1,108,108,23,93,82
4,3083,58,9,4,6,1,1,111,108,93,99,82
4,3126,53,16,2,7,2,1,196,104,88,90,79
4,3185,47,10,0,3,1,1,108,106,0,90,82
4,3227,46,12,2,3,1,1,108,106,91,104,86
4,3252,53,13,2,3,4,1,104,100,95,100,88
4,3286,45,15,1,1,3,1,108,108,97,79,82
4,3366,57,16,0,2,2,1,115,117,0,100,88
4,3398,59,17,1,6,6,1,108,108,100,93,86
4,3460,64,16,1,1,2,1,108,108,36,82,81
4,3535,57,21,0,1,2,1,104,104,0,86,77
4,3561,64,15,0,3,2,1,108,104,0,93,77
4,3590,72,19,2,5,1,1,212,204,91,93,82
4,3640,70,10,0,3,3,1,106,99,0,90,86
4,3676,69,14,0,2,3,1,100,100,0,93,90
4,3686,1,0,0,0,0,1,111,0,0,0,0
5,5,10,4,0,0,0,1,91,99,0,0,0
5,17,13,3,0,0,0,1,90,97,0,0,0
5,29,17,3,0,1,0,1,90,82,0,97,0
5,61,33,6,0,0,2,1,97,91,0,0,79
5,99,45,9,0,1,2,1,329,268,0,108,75
5,147,33,10,0,1,1,1,100,97,0,118,75
5,153,30,5,0,2,0,1,95,86,0,97,0
5,182,24,10,0,2,2,1,97,90,0,84,73
5,248,78,12,0,1,1,1,100,97,0,90,90
5,264,61,9,1,0,1,1,100,97,82,0,93
5,293,70,9,3,2,1,1,97,97,93,91,93
5,339,153,16,2,3,3,1,194,186,179,86,82
5,376,55,13,1,2,1,1,97,82,86,82,57
5,413,68,16,1,0,1,1,104,100,97,0,82
5,467,62,9,1,4,2,1,104,104,90,93,97
5,492,67,11,2,5,2,1,100,104,99,93,84
5,511,71,12,3,2,1,1,215,271,93,168,86
5,532,86,16,3,3,0,1,103,98,97,82,0
5,557,52,13,3,1,0,1,97,97,93,82,0
5,578,46,9,3,3,4,1,199,208,21,82,82
5,633,59,12,0,2,5,1,104,100,0,84,86
5,664,58,9,0,2,5,1,104,104,0,88,90
5,681,41,4,0,1,3,1,97,95,0,82,90
5,699,50,6,3,6,4,1,104,102,104,90,75
5,750,90,14,3,5,1,1,100,104,93,90,72
5,880,81,13,5,2,4,1,104,104,93,97,93
5,928,52,13,1,3,3,1,104,100,93,93,93
5,950,54,14,4,2,6,1,104,104,93,90,90
5,980,55,19,3,3,5,1,265,191,190,170,185
5,1045,48,7,2,2,2,1,104,104,97,90,86
5,1123,54,3,3,3,3,1,100,97,97,93,82
5,1292,65,8,2,3,4,1,104,102,97,97,88
5,1389,48,12,4,3,3,1,102,104,91,75,90
5,1465,40,15,3,1,2,1,100,100,97,86,82
5,1572,51,12,4,1,3,1,104,102,84,86,86
5,1621,45,7,3,3,1,1,108,108,90,86,90
5,1664,41,10,4,2,1,1,108,108,93,95,79
5,1699,48,10,4,2,0,1,106,106,95,100,0
5,1774,45,4,2,3,2,1,111,122,57,100,84
5,1802,41,12,2,3,1,1,111,109,97,90,3
5,1839,38,7,4,2,1,1,111,104,99,86,75
5,1906,53,10,2,2,0,1,111,111,93,81,0
5,1960,49,9,2,4,9,1,108,108,97,95,86
5,2011,32,9,2,4,3,1,109,108,93,86,79
5,2089,49,13,0,4,6,1,108,108,0,82,84
5,2156,38,9,4,4,7,1,108,115,97,88,82
5,2249,41,9,5,3,4,1,104,115,93,97,81
5,2322,49,10,2,3,5,1,108,113,97,100,86
5,2394,49,6,2,4,6,1,115,109,99,93,86
5,2425,39,7,0,5,5,1,111,108,0,90,82
5,2472,44,10,2,5,3,1,108,108,97,100,82
5,2514,45,11,3,2,2,1,111,111,93,93,90
5,2603,35,14,3,2,3,1,111,104,97,95,82
5,2674,51,12,4,3,1,1,108,106,99,100,79
5,2714,50,12,2,5,3,1,111,97,93,79,82
5,2827,57,18,2,4,3,1,108,104,95,95,90
5,2866,41,14,2,3,5,1,108,111,99,86,86
5,2930,37,11,0,4,5,1,111,108,0,99,79
5,3019,42,9,1,4,4,1,108,108,104,93,81
5,3083,62,14,1,6,4,1,108,108,93,95,81
5,3126,65,9,2,5,1,1,190,97,90,177,86
5,3185,48,8,2,5,1,1,108,106,50,104,97
5,3227,40,10,2,4,1,1,104,108,100,97,86
5,3252,31,11,1,1,1,1,108,104,97,97,82
5,3286,57,18,2,5,3,1,104,97,95,90,90
5,3366,55,10,2,4,3,1,111,115,100,90,86
5,3398,58,15,1,0,1,1,111,108,97,0,86
5,3460,59,22,1,6,5,1,108,104,100,82,79
5,3535,60,14,0,1,3,1,104,102,0,90,82
5,3561,57,11,0,1,1,1,104,108,0,90,86
5,3590,55,19,0,2,3,1,104,108,0,81,82
5,3640,59,17,1,5,3,1,104,100,93,93,86
5,3676,67,16,1,6,3,1,100,104,97,91,82
5,3686,2,1,0,0,0,1,104,108,0,0,0
6,5,16,0,0,0,0,1,91,0,0,0,0
6,17,19,2,0,0,0,1,93,84,0,0,0
6,29,17,4,0,1,0,1,97,90,0,86,0
6,61,31,3,0,2,5,1,97,90,0,97,79
6,99,25,7,0,1,2,1,265,156,0,97,64
6,147,19,6,0,1,1,1,97,99,0,100,86
6,153,24,8,0,0,3,1,93,95,0,0,75
6,182,30,4,0,2,1,1,93,91,0,88,93
6,248,54,7,1,0,0,1,104,97,97,0,0
6,264,63,13,2,1,2,1,104,97,95,86,75
6,293,61,11,2,1,1,1,100,97,95,86,90
6,339,135,23,3,2,1,1,197,188,183,165,93
6,376,64,7,1,2,3,1,97,93,97,81,61
6,413,61,7,1,2,3,1,100,90,97,90,82
6,467,52,13,0,3,1,1,100,90,0,90,75
6,492,52,11,0,2,0,1,104,93,0,86,0
6,511,48,16,0,2,0,1,238,290,0,91,0
6,532,75,13,1,6,2,1,107,105,97,86,81
6,557,53,9,1,4,1,1,100,90,93,86,86
6,578,43,7,3,2,1,1,200,97,192,91,90
6,633,46,9,5,1,2,1,100,97,93,75,72
6,664,61,9,4,0,3,1,100,111,95,0,79
6,681,49,6,4,1,3,1,93,100,91,86,75
6,699,44,5,0,1,6,1,108,104,0,90,90
6,750,86,15,4,3,6,1,102,100,97,93,77
6,880,81,11,0,6,0,1,100,100,0,90,0
6,928,52,11,3,5,4,1,104,108,97,90,90
6,950,51,12,4,3,6,1,104,106,95,90,82
6,980,57,12,2,3,5,1,197,197,93,188,172
6,1045,44,14,2,3,2,1,104,95,99,82,84
6,1123,48,10,2,0,4,1,104,100,91,0,79
6,1292,47,6,4,2,3,1,100,102,97,99,90
6,1389,64,7,3,4,3,1,104,100,97,93,82
6,1465,49,11,6,5,4,1,104,100,93,90,88
6,1572,51,17,3,5,1,1,100,100,97,90,90
6,1621,44,7,4,0,3,1,104,108,100,0,90
6,1664,36,7,3,1,3,1,108,100,90,86,90
6,1699,33,7,4,4,0,1,108,108,95,90,0
6,1774,34,6,4,3,1,1,115,109,104,93,90
6,1802,40,7,5,1,1,1,113,104,100,3,75
6,1839,43,7,2,4,1,1,108,108,97,99,93
6,1906,46,7,3,6,2,1,201,187,100,162,82
6,1960,51,10,4,4,7,1,111,111,99,90,86
6,2011,70,12,1,3,9,1,108,106,97,86,86
6,2089,38,9,2,6,4,1,108,111,95,91,77
6,2156,43,9,0,4,6,1,111,111,0,88,88
6,2249,41,11,2,3,5,1,104,111,93,90,82
6,2322,41,9,5,6,5,1,108,108,93,97,82
6,2394,42,5,1,3,4,1,109,104,93,97,82
6,2425,43,9,2,4,4,1,111,111,99,99,86
6,2472,43,7,1,3,3,1,108,108,97,90,79
6,2514,40,9,2,4,3,1,108,100,99,104,79
6,2603,42,5,2,7,2,1,108,104,99,93,97
6,2674,42,15,2,4,3,1,108,104,99,93,82
6,2714,39,11,3,3,4,1,108,111,93,93,81
6,2827,41,7,0,2,2,1,111,108,0,61,97
6,2866,55,10,4,4,4,1,111,104,61,95,88
6,2930,49,11,2,5,2,1,111,108,95,86,91
6,3019,39,13,0,6,3,1,111,108,0,102,82
6,3083,45,11,1,2,3,1,108,104,104,93,79
6,3126,46,12,1,6,4,1,182,100,100,91,70
6,3185,63,8,0,5,4,1,108,106,0,90,86
6,3227,64,13,0,6,3,1,108,100,0,93,86
6,3252,42,13,1,7,1,1,108,100,93,90,90
6,3286,40,12,1,0,1,1,108,102,97,0,79
6,3366,60,17,1,3,0,1,115,115,97,93,0
6,3398,66,14,2,4,5,1,108,106,97,93,90
6,3460,55,13,1,0,1,1,104,100,93,0,93
6,3535,60,8,0,1,1,1,104,113,0,93,93
